2024-07-18 23:11:37,477 INFO    MainThread:592638 [wandb_setup.py:_flush():76] Current SDK version is 0.17.2
2024-07-18 23:11:37,478 INFO    MainThread:592638 [wandb_setup.py:_flush():76] Configure stats pid to 592638
2024-07-18 23:11:37,478 INFO    MainThread:592638 [wandb_setup.py:_flush():76] Loading settings from /cluster/home/jiatang/.config/wandb/settings
2024-07-18 23:11:37,478 INFO    MainThread:592638 [wandb_setup.py:_flush():76] Loading settings from /cluster/scratch/jiatang/work/NCA/adddata_5l256_dp0.5/wandb/settings
2024-07-18 23:11:37,478 INFO    MainThread:592638 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'mode': 'offline'}
2024-07-18 23:11:37,478 INFO    MainThread:592638 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'mgpu_ppre_t_grad.py', 'program_abspath': '/cluster/scratch/jiatang/work/NCA/adddata_5l256_dp0.5/mgpu_ppre_t_grad.py', 'program': '/cluster/scratch/jiatang/work/NCA/adddata_5l256_dp0.5/mgpu_ppre_t_grad.py'}
2024-07-18 23:11:37,478 INFO    MainThread:592638 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2024-07-18 23:11:37,479 INFO    MainThread:592638 [wandb_init.py:_log_setup():520] Logging user logs to /cluster/scratch/jiatang/work/NCA/adddata_5l256_dp0.5/Setup_0/wandb/offline-run-20240718_231137-b53d0vri/logs/debug.log
2024-07-18 23:11:37,479 INFO    MainThread:592638 [wandb_init.py:_log_setup():521] Logging internal logs to /cluster/scratch/jiatang/work/NCA/adddata_5l256_dp0.5/Setup_0/wandb/offline-run-20240718_231137-b53d0vri/logs/debug-internal.log
2024-07-18 23:11:37,479 INFO    MainThread:592638 [wandb_init.py:init():560] calling init triggers
2024-07-18 23:11:37,479 INFO    MainThread:592638 [wandb_init.py:init():567] wandb.init called with sweep_config: {}
config: {'lr': 0.0005, 'step_size': 2000, 'gamma': 0.8, 'hid_lay_num': 5, 'kernel_size': 3, 'neu_num': 256, 'dic_neu_num': 64, 'dic_lay_num': 0, 'in_dim': 10, 'epoch': 4000, 'echo_step': 50, 'cs_pena': 1.0, 'time_fac': 1.0, 'rand_seed': 3024, 'speedup_rate': [1.0], 'batch_size': 8, 'drop': 0.5, 'tot_t': 16}
2024-07-18 23:11:37,479 INFO    MainThread:592638 [wandb_init.py:init():610] starting backend
2024-07-18 23:11:37,479 INFO    MainThread:592638 [wandb_init.py:init():614] setting up manager
2024-07-18 23:11:37,486 INFO    MainThread:592638 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-07-18 23:11:37,489 INFO    MainThread:592638 [wandb_init.py:init():622] backend started and connected
2024-07-18 23:11:37,502 INFO    MainThread:592638 [wandb_init.py:init():711] updated telemetry
2024-07-18 23:11:37,504 INFO    MainThread:592638 [wandb_init.py:init():744] communicating run to backend with 90.0 second timeout
2024-07-18 23:11:37,508 INFO    MainThread:592638 [wandb_init.py:init():795] starting run threads in backend
2024-07-18 23:11:38,059 INFO    MainThread:592638 [wandb_run.py:_console_start():2380] atexit reg
2024-07-18 23:11:38,059 INFO    MainThread:592638 [wandb_run.py:_redirect():2235] redirect: wrap_raw
2024-07-18 23:11:38,059 INFO    MainThread:592638 [wandb_run.py:_redirect():2300] Wrapping output streams.
2024-07-18 23:11:38,059 INFO    MainThread:592638 [wandb_run.py:_redirect():2325] Redirects installed.
2024-07-18 23:11:38,062 INFO    MainThread:592638 [wandb_init.py:init():838] run started, returning control to user process
